text,type,label,source
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,sms,phishing,real
تنبيه: تم تعليق حسابك في Google. تحقق من هويتك هنا: http://192.168.43.12/secure/update,sms,phishing,synthetic
Click to avoid account closure BNP: https://paypa1-secure.com/secure/update,sms,phishing,synthetic
Remember to ask alex about his pizza,sms,legitimate,real
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,sms,legitimate,real
Hope youre not having too much fun without me!! see u tomorrow love jess x,sms,legitimate,real
"Cher client, Votre carte sera debitee de 89.99 EUR. Annulez ici: https://paypa1-secure.com",email,phishing,synthetic
Your CIH Bank account is locked. Confirm your identity now: https://apple-id-locked.co/login/verify,sms,phishing,synthetic
Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,sms,legitimate,real
NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT,sms,legitimate,real
No. It's not pride. I'm almost &lt;#&gt; years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,sms,legitimate,real
Votre carte sera debitee de 89.99 EUR. Annulez ici: http://netflix-billing.support/unlock?id=8821,sms,phishing,synthetic
Er mw im filled tuth is aight,sms,legitimate,real
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,sms,phishing,real
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",sms,legitimate,real
Refund of 250 EUR pending from Google. Claim within 12h: http://192.168.43.12,sms,phishing,synthetic
Dernier avertissement: mettez a jour vos infos DHL ou perte du compte: http://amaz0n-verify.net,sms,phishing,synthetic
"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",sms,phishing,real
I accidentally brought em home in the box,sms,legitimate,real
"Cher client, تنبيه: تم تعليق حسابك في DHL. تحقق من هويتك هنا: https://192.168.43.12/secure/update",email,phishing,synthetic
Vous avez gagne un cadeau Amazon! Reclamez-le sous 24h: http://amaz0n-verify.net/account/confirm,sms,phishing,synthetic
Yup i thk so until e shop closes lor.,sms,legitimate,real
Yup i'm elaborating on the safety aspects and some other issues..,sms,legitimate,real
Vous avez gagne un cadeau La Poste! Reclamez-le sous 24h: http://paypa1-secure.com/billing/reactivate,sms,phishing,synthetic
Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,sms,legitimate,real
Votre colis est bloque. Payez les frais de douane: http://apple-id-locked.co/unlock?id=8821,sms,phishing,synthetic
;-) ok. I feel like john lennon.,sms,legitimate,real
"Coffee cake, i guess...",sms,legitimate,real
S now only i took tablets . Reaction morning only.,sms,legitimate,real
So the sun is anti sleep medicine.,sms,legitimate,real
"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",sms,legitimate,real
85233 FREE>Ringtone!Reply REAL,sms,phishing,real
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,sms,legitimate,real
Erutupalam thandiyachu,sms,legitimate,real
Can... I'm free...,sms,legitimate,real
No problem baby. Is this is a good time to talk? I called and left a message.,sms,legitimate,real
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",sms,phishing,real
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",sms,phishing,real
Except theres a chick with huge boobs.,sms,legitimate,real
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",sms,phishing,real
URGENT: votre compte Amazon a ete suspendu. Verifiez ici: https://bit.ly/3xVq9z/webscr?cmd=login,sms,phishing,synthetic
Refund of 250 EUR pending from Microsoft. Claim within 12h: http://bit.ly/3xVq9z/secure/update,sms,phishing,synthetic
Its going good...no problem..but still need little experience to understand american customer voice...,sms,legitimate,real
"Dear customer, URGENT: votre compte Attijariwafa a ete suspendu. Verifiez ici: https://bit.ly/3xVq9z",email,phishing,synthetic
Dernier avertissement: mettez a jour vos infos Netflix ou perte du compte: http://apple-id-locked.co/unlock?id=8821,sms,phishing,synthetic
"Cher client, تنبيه: تم تعليق حسابك في Amazon. تحقق من هويتك هنا: http://amaz0n-verify.net/unlock?id=8821",email,phishing,synthetic
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,sms,legitimate,real
تنبيه: تم تعليق حسابك في Microsoft. تحقق من هويتك هنا: http://account-update.xyz/unlock?id=8821,sms,phishing,synthetic
Votre colis est bloque. Payez les frais de douane: https://amaz0n-verify.net/unlock?id=8821,sms,phishing,synthetic
Dernier avertissement: mettez a jour vos infos Amazon ou perte du compte: http://bit.ly/3xVq9z,sms,phishing,synthetic
Click to avoid account closure Google: http://secure-orange-fr.com/login/verify,sms,phishing,synthetic
Security alert: unusual login on your CIH Bank account. Reset: http://laposte-colis.info/billing/reactivate,sms,phishing,synthetic
WHAT TIME U WRKIN?,sms,legitimate,real
Its &lt;#&gt; k here oh. Should i send home for sale.,sms,legitimate,real
"Haha... Sounds crazy, dunno can tahan anot...",sms,legitimate,real
Votre carte sera debitee de 89.99 EUR. Annulez ici: http://laposte-colis.info,sms,phishing,synthetic
Refund of 250 EUR pending from Netflix. Claim within 12h: https://secure-orange-fr.com/login/verify,sms,phishing,synthetic
"Cher client, Happy birthday Yassine! Hope you have a great day.",email,legitimate,synthetic
THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,sms,legitimate,real
"Dear customer, Refund of 250 EUR pending from Amazon. Claim within 12h: http://netflix-billing.support/secure/update",email,phishing,synthetic
Hey you can pay. With salary de. Only &lt;#&gt; .,sms,legitimate,real
Can you do online transaction?,sms,legitimate,real
Security alert: unusual login on your Attijariwafa account. Reset: https://account-update.xyz,sms,phishing,synthetic
Yar lor... How u noe? U used dat route too?,sms,legitimate,real
"Vikky, come around &lt;TIME&gt; ..",sms,legitimate,real
